title,author,rank,description,publisher,amazon_product_url
BEREN AND LÚTHIEN,JRR Tolkien,6,"The love of a mortal man for an immortal elf, which figures in “The Silmarillion” and is part of the back story of “Lord of the Rings.” Edited by Christopher Tolkien.",Houghton Mifflin Harcourt,https://www.amazon.com/Beren-Lúthien-J-R-R-Tolkien/dp/1328791823?tag=NYTBS-20
16TH SEDUCTION,James Patterson and Maxine Paetro,7,"In San Francisco, Detective Lindsay Boxer and the Women’s Murder Club face their toughest case yet.","Little, Brown",https://www.amazon.com/16th-Seduction-Womens-Murder-Club-ebook/dp/B01LXW2CGJ?tag=NYTBS-20
THE FIX,David Baldacci,8,The detective Amos Decker (“Memory Man”) witnesses a murder-suicide that turns out to be a matter of national security.,Grand Central,https://www.amazon.com/Fix-Amos-Decker-David-Baldacci/dp/1455586560?tag=NYTBS-20
"SAME BEACH, NEXT YEAR",Dorothea Benton Frank,9,Two couples form a lifelong friendship during annual reunions on one of South Carolina's barrier islands.,Morrow,https://www.amazon.com/Same-Beach-Next-Year-Novel-ebook/dp/B01LL0JG3Y?tag=NYTBS-20
TESTIMONY,Scott Turow,10,A former Illinois prosecutor joins the International Criminal Court to investigate a massacre in Bosnia.,Grand Central,https://www.amazon.com/Testimony-Scott-Turow/dp/1455553549?tag=NYTBS-20
A GENTLEMAN IN MOSCOW,Amor Towles,11,A Russian count undergoes 30 years of house arrest.,Viking,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBS-20
GOLDEN PREY,John Sandford,12,"Lucas Davenport, now a U.S. Marshal, pursues a thief who robbed a drug cartel and killed a child in Biloxi, Miss.",Putnam,https://www.amazon.com/Golden-Prey-Novel-John-Sandford-ebook/dp/B01JHQPTWQ?tag=NYTBS-20
GWENDY'S BUTTON BOX,Stephen King and Richard Chizmar,13,"King returns to Castle Rock, Me., in this novella set in 1974.",Cemetery Dance,https://www.amazon.com/Gwendys-Button-Box-Stephen-King/dp/1587676109?tag=NYTBS-20
YOU WILL PAY,Lisa Jackson,14,"Twenty years later, survivors probe the disappearance of two teenage girls from a religious camp.",Kensington,https://www.amazon.com/You-Will-Pay-Lisa-Jackson/dp/1617734667?tag=NYTBS-20
NORSE MYTHOLOGY,Neil Gaiman,15,A retelling of Norse folklore.,Norton,https://www.amazon.com/Norse-Mythology-Neil-Gaiman/dp/039360909X?tag=NYTBS-20
CAMINO ISLAND,John Grisham,1,A search for stolen rare manuscripts leads to a Florida island.,Doubleday,https://www.amazon.com/Camino-Island-Novel-John-Grisham-ebook/dp/B01N2ABE60?tag=NYTBS-20
INTO THE WATER,Paula Hawkins,2,"In this psychological thriller by the author of “The Girl on the Train,” women are found drowned in a river in an English town.",Riverhead,https://www.amazon.com/Into-Water-Novel-Paula-Hawkins-ebook/dp/B01N590V3K?tag=NYTBS-20
COME SUNDOWN,Nora Roberts,3,"Years after she was kidnapped, a woman returns to her family’s Montana ranch.",St. Martin's,https://www.amazon.com/Come-Sundown-Nora-Roberts-ebook/dp/B01M4GE64D?tag=NYTBS-20
DRAGON TEETH,Michael Crichton,4,"A paleontological rivalry plays out in 1870s Wyoming. A recently discovered manuscript by Crichton, who died in 2008.",Harper/HarperCollins,https://www.amazon.com/Dragon-Teeth-Novel-Michael-Crichton/dp/0062473352?tag=NYTBS-20
LOVE STORY,Karen Kingsbury,5,How John and Elizabeth Baxter fell in love.,Howard,https://www.amazon.com/Love-Story-Novel-Baxter-Family/dp/1451687591?tag=NYTBS-20
NO MIDDLE NAME,Lee Child,6,A complete collection of Jack Reacher stories.,Delacorte,https://www.amazon.com/No-Middle-Name-Complete-Collected-ebook/dp/B01MTJQFQY?tag=NYTBS-20
THE MINISTRY OF UTMOST HAPPINESS,Arundhati Roy,7,A sprawling novel of modern India by the author of “The God of Small Things.”,Knopf,https://www.amazon.com/Ministry-Utmost-Happiness-novel/dp/1524733156?tag=NYTBS-20
NIGHTHAWK,Clive Cussler and Graham Brown,8,The NUMA crew races the Russians and Chinese in a hunt for a missing American aircraft.,Putnam,https://www.amazon.com/Nighthawk-NUMA-Files-Clive-Cussler-ebook/dp/B01M0I28M0?tag=NYTBS-20
THE FIX,David Baldacci,9,The detective Amos Decker (“Memory Man”) witnesses a murder-suicide that turns out to be a matter of national security.,Grand Central,https://www.amazon.com/Fix-Amos-Decker-David-Baldacci/dp/1455586560?tag=NYTBS-20
INDECENT EXPOSURE,Stuart Woods,10,Rekindling a romance with an old girlfriend who is now secretary of state exposes the New York lawyer Stone Barrington to unwanted attention.,Putnam,https://www.amazon.com/Indecent-Exposure-Stone-Barrington-Novel-ebook/dp/B01N1LZJGS?tag=NYTBS-20
BEREN AND LÚTHIEN,JRR Tolkien,11,"The love of a mortal man for an immortal elf, which figures in “The Silmarillion” and is part of the back story of “Lord of the Rings.” Edited by Christopher Tolkien.",Houghton Mifflin Harcourt,https://www.amazon.com/Beren-Lúthien-J-R-R-Tolkien/dp/1328791823?tag=NYTBS-20
16TH SEDUCTION,James Patterson and Maxine Paetro,12,"In San Francisco, Detective Lindsay Boxer and the Women’s Murder Club face their toughest case yet.","Little, Brown",https://www.amazon.com/16th-Seduction-Womens-Murder-Club-ebook/dp/B01LXW2CGJ?tag=NYTBS-20
"SAME BEACH, NEXT YEAR",Dorothea Benton Frank,13,Two couples form a lifelong friendship during annual reunions on one of South Carolina's barrier islands.,Morrow,https://www.amazon.com/Same-Beach-Next-Year-Novel-ebook/dp/B01LL0JG3Y?tag=NYTBS-20
TESTIMONY,Scott Turow,14,A former Illinois prosecutor joins the International Criminal Court to investigate a massacre in Bosnia.,Grand Central,https://www.amazon.com/Testimony-Scott-Turow/dp/1455553549?tag=NYTBS-20
MAGPIE MURDERS,Anthony Horowitz,15,A novel within a novel pays homage to and updates Agatha Christie-style mysteries.,HarperCollins,https://www.amazon.com/Magpie-Murders-Novel-Anthony-Horowitz/dp/0062645226?tag=NYTBS-20
CAMINO ISLAND,John Grisham,1,A search for stolen rare manuscripts leads to a Florida island.,Doubleday,https://www.amazon.com/Camino-Island-Novel-John-Grisham-ebook/dp/B01N2ABE60?tag=NYTBS-20
THE IDENTICALS,Elin Hilderbrand,2,"Complications in the lives of identical twins who were raised by their divorced parents, one on Nantucket, one on Martha’s Vineyard.","Little, Brown",https://www.amazon.com/Identicals-Novel-Elin-Hilderbrand-ebook/dp/B01LZP2AA3?tag=NYTBS-20
TOM CLANCY: POINT OF CONTACT,Mike Maden,3,Jack Ryan Jr. helps thwart a global financial crisis. (Tom Clancy died in 2013.),Putnam,https://www.amazon.com/Clancy-Point-Contact-Jack-Novel/dp/0735215863?tag=NYTBS-20
INTO THE WATER,Paula Hawkins,4,"In this psychological thriller by the author of “The Girl on the Train,” women are found drowned in a river in an English town.",Riverhead,https://www.amazon.com/Into-Water-Novel-Paula-Hawkins-ebook/dp/B01N590V3K?tag=NYTBS-20
DRAGON TEETH,Michael Crichton,5,"A paleontological rivalry plays out in 1870s Wyoming. A recently discovered manuscript by Crichton, who died in 2008.",Harper/HarperCollins,https://www.amazon.com/Dragon-Teeth-Novel-Michael-Crichton/dp/0062473352?tag=NYTBS-20
COME SUNDOWN,Nora Roberts,6,"Years after she was kidnapped, a woman returns to her family’s Montana ranch.",St. Martin's,https://www.amazon.com/Come-Sundown-Nora-Roberts-ebook/dp/B01M4GE64D?tag=NYTBS-20
NO MIDDLE NAME,Lee Child,7,A complete collection of Jack Reacher stories.,Delacorte,https://www.amazon.com/No-Middle-Name-Complete-Collected-ebook/dp/B01MTJQFQY?tag=NYTBS-20
NIGHTHAWK,Clive Cussler and Graham Brown,8,The NUMA crew races the Russians and Chinese in a hunt for a missing American aircraft.,Putnam,https://www.amazon.com/Nighthawk-NUMA-Files-Clive-Cussler-ebook/dp/B01M0I28M0?tag=NYTBS-20
THE FIX,David Baldacci,9,The detective Amos Decker (“Memory Man”) witnesses a murder-suicide that turns out to be a matter of national security.,Grand Central,https://www.amazon.com/Fix-Amos-Decker-David-Baldacci/dp/1455586560?tag=NYTBS-20
16TH SEDUCTION,James Patterson and Maxine Paetro,10,"In San Francisco, Detective Lindsay Boxer and the Women’s Murder Club face their toughest case yet.","Little, Brown",https://www.amazon.com/16th-Seduction-Womens-Murder-Club-ebook/dp/B01LXW2CGJ?tag=NYTBS-20
THE RISE AND FALL OF D. O. D. O.,Neal Stephenson and Nicole Galland,11,"A near-future thriller combines science, magic and mystery.",Morrow/HarperCollins,https://www.amazon.com/Rise-Fall-D-D-Novel/dp/0062409166?tag=NYTBS-20
A GENTLEMAN IN MOSCOW,Amor Towles,12,A Russian count undergoes 30 years of house arrest.,Viking,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBS-20
THE MINISTRY OF UTMOST HAPPINESS,Arundhati Roy,13,A sprawling novel of modern India by the author of “The God of Small Things.”,Knopf,https://www.amazon.com/Ministry-Utmost-Happiness-novel/dp/1524733156?tag=NYTBS-20
TESTIMONY,Scott Turow,14,A former Illinois prosecutor joins the International Criminal Court to investigate a massacre in Bosnia.,Grand Central,https://www.amazon.com/Testimony-Scott-Turow/dp/1455553549?tag=NYTBS-20
MAGPIE MURDERS,Anthony Horowitz,15,A novel within a novel pays homage to and updates Agatha Christie-style mysteries.,HarperCollins,https://www.amazon.com/Magpie-Murders-Novel-Anthony-Horowitz/dp/0062645226?tag=NYTBS-20
CAMINO ISLAND,John Grisham,1,A search for stolen rare manuscripts leads to a Florida island.,Doubleday,https://www.amazon.com/Camino-Island-Novel-John-Grisham-ebook/dp/B01N2ABE60?tag=NYTBS-20
THE SILENT CORNER,Dean Koontz,2,"An F.B.I. agent investigates an alarming surge in suicides, including her husband's. The first in a new series.",Bantam,https://www.amazon.com/Silent-Corner-Novel-Suspense-ebook/dp/B01LY7FAHO?tag=NYTBS-20
THE IDENTICALS,Elin Hilderbrand,3,"Complications in the lives of identical twins who were raised by their divorced parents, one on Nantucket, one on Martha’s Vineyard.","Little, Brown",https://www.amazon.com/Identicals-Novel-Elin-Hilderbrand-ebook/dp/B01LZP2AA3?tag=NYTBS-20
INTO THE WATER,Paula Hawkins,4,"In this psychological thriller by the author of “The Girl on the Train,” women are found drowned in a river in an English town.",Riverhead,https://www.amazon.com/Into-Water-Novel-Paula-Hawkins-ebook/dp/B01N590V3K?tag=NYTBS-20
DANGEROUS MINDS,Janet Evanovich,5,"Emerson Knight, an eccentric millionaire, and Riley Moon, a financial analyst, search for a missing island.",Bantam,https://www.amazon.com/Dangerous-Minds-Knight-Moon-Novel-ebook/dp/B01K3EKRBY?tag=NYTBS-20
TOM CLANCY: POINT OF CONTACT,Mike Maden,6,Jack Ryan Jr. helps thwart a global financial crisis. (Tom Clancy died in 2013.),Putnam,https://www.amazon.com/Clancy-Point-Contact-Jack-Novel/dp/0735215863?tag=NYTBS-20
KISS CARLO,Adriana Trigiani,7,"Extended Italian-American families work, feud and fall in love in the Philadelphia area in 1949.",Harper/HarperCollins,https://www.amazon.com/Kiss-Carlo-Novel-Adriana-Trigiani/dp/0062319221?tag=NYTBS-20
DRAGON TEETH,Michael Crichton,8,"A paleontological rivalry plays out in 1870s Wyoming. A recently discovered manuscript by Crichton, who died in 2008.",Harper/HarperCollins,https://www.amazon.com/Dragon-Teeth-Novel-Michael-Crichton/dp/0062473352?tag=NYTBS-20
COME SUNDOWN,Nora Roberts,9,"Years after she was kidnapped, a woman returns to her family’s Montana ranch.",St. Martin's,https://www.amazon.com/Come-Sundown-Nora-Roberts-ebook/dp/B01M4GE64D?tag=NYTBS-20
THE FORCE,Don Winslow,10,"A detective sergeant and his crew in Manhattan North deal with gangs, drugs and guns, and steal millions of dollars while they're at it.",Morrow/HarperCollins,https://www.amazon.com/Force-Novel-Don-Winslow-ebook/dp/B01M1549OD?tag=NYTBS-20
THE MINISTRY OF UTMOST HAPPINESS,Arundhati Roy,11,A sprawling novel of modern India by the author of “The God of Small Things.”,Knopf,https://www.amazon.com/Ministry-Utmost-Happiness-novel/dp/1524733156?tag=NYTBS-20
BEACH HOUSE FOR RENT,Mary Alice Monroe,12,A woman who has rented out her South Carolina beach house for the summer winds up sharing it with her tenant when is faced with a tragedy.,Gallery Books,https://www.amazon.com/Beach-House-Rent-Book-ebook/dp/B01MPZHKJ5?tag=NYTBS-20
NO MIDDLE NAME,Lee Child,13,A complete collection of Jack Reacher stories.,Delacorte,https://www.amazon.com/No-Middle-Name-Complete-Collected-ebook/dp/B01MTJQFQY?tag=NYTBS-20
THE FIX,David Baldacci,14,The detective Amos Decker (“Memory Man”) witnesses a murder-suicide that turns out to be a matter of national security.,Grand Central,https://www.amazon.com/Fix-Amos-Decker-David-Baldacci/dp/1455586560?tag=NYTBS-20
A GENTLEMAN IN MOSCOW,Amor Towles,15,A Russian count undergoes 30 years of house arrest.,Viking,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBS-20
CAMINO ISLAND,John Grisham,1,A search for stolen rare manuscripts leads to a Florida island.,Doubleday,https://www.amazon.com/Camino-Island-Novel-John-Grisham-ebook/dp/B01N2ABE60?tag=NYTBS-20
MURDER GAMES,James Patterson and Howard Roughan,2,An expert on serial murder becomes involved in the hunt for a New York City killer.,"Little, Brown",https://www.amazon.com/Murder-Games-James-Patterson-ebook/dp/B01M0CDHMG?tag=NYTBS-20
USE OF FORCE,Brad Thor,3,The counterterrorism operative Scot Harvath is called in when a missing terrorism suspect drowns off the Italian coast.,Atria/Emily Bestler,https://www.amazon.com/Use-Force-Thriller-Scot-Harvath-ebook/dp/B01M2BRLHB?tag=NYTBS-20
THE DUCHESS,Danielle Steel,4,"A 19th-century British duke's daughter, disinherited by her half brothers, flees to Paris to make a new life.",Delacorte,https://www.amazon.com/Duchess-Novel-Danielle-Steel/dp/0345531086?tag=NYTBS-20
SEVEN STONES TO STAND OR FALL,Diana Gabaldon,5,A collection of Outlander short fiction.,Delacorte,https://www.amazon.com/Seven-Stones-Stand-Fall-Collection/dp/039959342X?tag=NYTBS-20
THE IDENTICALS,Elin Hilderbrand,6,Complications in the lives of identical twins who were raised separately by divorced parents on Nantucket and Martha’s Vineyard.,"Little, Brown",https://www.amazon.com/Identicals-Novel-Elin-Hilderbrand-ebook/dp/B01LZP2AA3?tag=NYTBS-20
INTO THE WATER,Paula Hawkins,7,"In this psychological thriller by the author of “The Girl on the Train,” women are found drowned in a river in an English town.",Riverhead,https://www.amazon.com/Into-Water-Novel-Paula-Hawkins-ebook/dp/B01N590V3K?tag=NYTBS-20
THE SILENT CORNER,Dean Koontz,8,"An F.B.I. agent investigates an alarming surge in suicides, including her husband's. The first in a new series.",Bantam,https://www.amazon.com/Silent-Corner-Novel-Suspense-ebook/dp/B01LY7FAHO?tag=NYTBS-20
TOM CLANCY: POINT OF CONTACT,Mike Maden,9,Jack Ryan Jr. helps thwart a global financial crisis. (Tom Clancy died in 2013.),Putnam,https://www.amazon.com/Clancy-Point-Contact-Jack-Novel/dp/0735215863?tag=NYTBS-20
COME SUNDOWN,Nora Roberts,10,"Years after she was kidnapped, a woman returns to her family’s Montana ranch.",St. Martin's,https://www.amazon.com/Come-Sundown-Nora-Roberts-ebook/dp/B01M4GE64D?tag=NYTBS-20
DANGEROUS MINDS,Janet Evanovich,11,"Emerson Knight, an eccentric millionaire, and Riley Moon, a financial analyst, search for a missing island.",Bantam,https://www.amazon.com/Dangerous-Minds-Knight-Moon-Novel-ebook/dp/B01K3EKRBY?tag=NYTBS-20
DRAGON TEETH,Michael Crichton,12,"A paleontological rivalry plays out in 1870s Wyoming. A recently discovered manuscript by Crichton, who died in 2008.",Harper/HarperCollins,https://www.amazon.com/Dragon-Teeth-Novel-Michael-Crichton/dp/0062473352?tag=NYTBS-20
THE MINISTRY OF UTMOST HAPPINESS,Arundhati Roy,13,A sprawling novel of modern India by the author of “The God of Small Things.”,Knopf,https://www.amazon.com/Ministry-Utmost-Happiness-novel/dp/1524733156?tag=NYTBS-20
KISS CARLO,Adriana Trigiani,14,"Extended Italian-American families work, feud and fall in love in the Philadelphia area in 1949.",Harper/HarperCollins,https://www.amazon.com/Kiss-Carlo-Novel-Adriana-Trigiani/dp/0062319221?tag=NYTBS-20
A GENTLEMAN IN MOSCOW,Amor Towles,15,A Russian count undergoes 30 years of house arrest.,Viking,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBS-20
CAMINO ISLAND,John Grisham,1,A search for stolen rare manuscripts leads to a Florida island.,Doubleday,https://www.amazon.com/Camino-Island-Novel-John-Grisham-ebook/dp/B01N2ABE60?tag=NYTBS-20
MURDER GAMES,James Patterson and Howard Roughan,2,An expert on serial murder becomes involved in the hunt for a New York City killer.,"Little, Brown",https://www.amazon.com/Murder-Games-James-Patterson-ebook/dp/B01M0CDHMG?tag=NYTBS-20
USE OF FORCE,Brad Thor,3,The counterterrorism operative Scot Harvath is called in when a missing terrorism suspect drowns off the Italian coast.,Atria/Emily Bestler,https://www.amazon.com/Use-Force-Thriller-Scot-Harvath-ebook/dp/B01M2BRLHB?tag=NYTBS-20
INTO THE WATER,Paula Hawkins,4,"In this psychological thriller by the author of “The Girl on the Train,” women are found drowned in a river in an English town.",Riverhead,https://www.amazon.com/Into-Water-Novel-Paula-Hawkins-ebook/dp/B01N590V3K?tag=NYTBS-20
THE DUCHESS,Danielle Steel,5,"A 19th-century British duke's daughter, disinherited by her half brothers, flees to Paris to make a new life.",Delacorte,https://www.amazon.com/Duchess-Novel-Danielle-Steel/dp/0345531086?tag=NYTBS-20
THE IDENTICALS,Elin Hilderbrand,6,Complications in the lives of identical twins who were raised separately by divorced parents on Nantucket and Martha’s Vineyard.,"Little, Brown",https://www.amazon.com/Identicals-Novel-Elin-Hilderbrand-ebook/dp/B01LZP2AA3?tag=NYTBS-20
WIRED,Julie Garwood,7,An F.B.I. agent recruits an idealistic (and beautiful) hacker to help him find a leaker.,Berkley,https://www.amazon.com/Wired-Buchanan-Fbi-Julie-Garwood/dp/0525954465?tag=NYTBS-20
A GENTLEMAN IN MOSCOW,Amor Towles,8,A Russian count undergoes 30 years of house arrest.,Viking,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBS-20
THE SILENT CORNER,Dean Koontz,9,"An F.B.I. agent investigates an alarming surge in suicides, including her husband's. The first in a new series.",Bantam,https://www.amazon.com/Silent-Corner-Novel-Suspense-ebook/dp/B01LY7FAHO?tag=NYTBS-20
THE FORCE,Don Winslow,10,"A detective sergeant and his crew in Manhattan North deal with gangs, drugs and guns, and steal millions of dollars.",Morrow/HarperCollins,https://www.amazon.com/Force-Novel-Don-Winslow-ebook/dp/B01M1549OD?tag=NYTBS-20
